Designator,Mid X,Mid Y,Layer,Rotation
"F13",90.200,3.000,bottom,90.000
"F14",92.500,3.000,bottom,90.000
"L1",70.640,87.930,top,0.000
"Q1",28.000,85.500,top,90.000
"Q2",31.473,57.275,top,90.000
"Q3",27.973,57.275,top,90.000
"Q4",29.010,33.737,top,90.000
"Q5",25.610,33.737,top,90.000
"Q6",18.810,33.737,top,90.000
"Q7",22.210,33.737,top,90.000
"Q8",15.410,33.737,top,90.000
"Q9",12.010,33.737,top,90.000
"Q10",8.610,33.737,top,90.000
"Q11",5.210,33.737,top,90.000
"Q12",2.873,57.275,top,90.000
"Q13",6.372,57.275,top,90.000
"Q14",64.422,57.275,top,90.000
"Q15",60.922,57.275,top,90.000
"Q16",61.960,33.737,top,90.000
"Q17",58.560,33.737,top,90.000
"Q18",51.760,33.737,top,90.000
"Q19",55.160,33.737,top,90.000
"Q20",48.360,33.737,top,90.000
"Q21",44.960,33.737,top,90.000
"Q22",41.560,33.737,top,90.000
"Q23",38.160,33.737,top,90.000
"Q24",35.822,57.275,top,90.000
"Q25",39.322,57.275,top,90.000
"Q26",97.373,57.275,top,90.000
"Q27",93.873,57.275,top,90.000
"Q28",94.910,33.737,top,90.000
"Q29",91.510,33.737,top,90.000
"Q30",84.710,33.737,top,90.000
"Q31",88.110,33.737,top,90.000
"Q32",81.310,33.737,top,90.000
"Q33",77.910,33.737,top,90.000
"Q34",74.510,33.737,top,90.000
"Q35",71.110,33.737,top,90.000
"Q36",68.772,57.275,top,90.000
"Q37",72.272,57.275,top,90.000
"R1",22.000,90.000,top,90.000
"R2",20.000,90.000,top,90.000
"R3",14.000,90.000,top,270.000
"R4",18.000,90.000,top,270.000
"R5",16.000,90.000,top,270.000
"R6",66.440,96.330,top,270.000
"R7",68.440,96.330,top,90.000
"R8",82.940,96.230,top,270.000
"R9",82.440,91.730,top,270.000
"R10",23.247,51.938,top,180.000
"R11",10.747,44.587,top,0.000
"R12",10.760,46.587,top,0.000
"R13",23.247,50.037,top,180.000
"R14",23.247,48.137,top,180.000
"R15",31.473,65.975,top,0.000
"R16",31.473,60.175,top,0.000
"R17",27.973,65.975,top,0.000
"R18",27.973,60.175,top,0.000
"R19",29.010,42.438,top,0.000
"R20",29.010,36.637,top,0.000
"R21",25.610,42.438,top,0.000
"R22",25.610,36.637,top,0.000
"R23",18.810,42.438,top,0.000
"R24",18.810,36.637,top,0.000
"R25",22.210,42.438,top,0.000
"R26",22.210,36.637,top,0.000
"R27",15.410,42.438,top,0.000
"R28",15.410,36.637,top,0.000
"R29",12.010,42.438,top,0.000
"R30",12.010,36.637,top,0.000
"R31",8.610,42.438,top,0.000
"R32",8.610,36.637,top,0.000
"R33",5.210,42.438,top,0.000
"R34",5.210,36.637,top,0.000
"R35",2.873,65.975,top,0.000
"R36",2.873,60.175,top,0.000
"R37",6.372,65.975,top,0.000
"R38",6.372,60.175,top,0.000
"R39",56.197,51.938,top,180.000
"R40",43.697,44.587,top,0.000
"R41",43.710,46.587,top,0.000
"R42",56.197,50.037,top,180.000
"R43",56.197,48.137,top,180.000
"R44",64.422,65.975,top,0.000
"R45",64.422,60.175,top,0.000
"R46",60.922,65.975,top,0.000
"R47",60.922,60.175,top,0.000
"R48",61.960,42.438,top,0.000
"R49",61.960,36.637,top,0.000
"R50",58.560,42.438,top,0.000
"R51",58.560,36.637,top,0.000
"R52",51.760,42.438,top,0.000
"R53",51.760,36.637,top,0.000
"R54",55.160,42.438,top,0.000
"R55",55.160,36.637,top,0.000
"R56",48.360,42.438,top,0.000
"R57",48.360,36.637,top,0.000
"R58",44.960,42.438,top,0.000
"R59",44.960,36.637,top,0.000
"R60",41.560,42.438,top,0.000
"R61",41.560,36.637,top,0.000
"R62",38.160,42.438,top,0.000
"R63",38.160,36.637,top,0.000
"R64",35.822,65.975,top,0.000
"R65",35.822,60.175,top,0.000
"R66",39.322,65.975,top,0.000
"R67",39.322,60.175,top,0.000
"R68",89.147,51.938,top,180.000
"R69",76.647,44.587,top,0.000
"R70",76.660,46.587,top,0.000
"R71",89.147,50.037,top,180.000
"R72",89.147,48.137,top,180.000
"R73",97.373,65.975,top,0.000
"R74",97.373,60.175,top,0.000
"R75",93.873,65.975,top,0.000
"R76",93.873,60.175,top,0.000
"R77",94.910,42.438,top,0.000
"R78",94.910,36.637,top,0.000
"R79",91.510,42.438,top,0.000
"R80",91.510,36.637,top,0.000
"R81",84.710,42.438,top,0.000
"R82",84.710,36.637,top,0.000
"R83",88.110,42.438,top,0.000
"R84",88.110,36.637,top,0.000
"R85",81.310,42.438,top,0.000
"R86",81.310,36.637,top,0.000
"R87",77.910,42.438,top,0.000
"R88",77.910,36.637,top,0.000
"R89",74.510,42.438,top,0.000
"R90",74.510,36.637,top,0.000
"R91",71.110,42.438,top,0.000
"R92",71.110,36.637,top,0.000
"R93",68.772,65.975,top,0.000
"R94",68.772,60.175,top,0.000
"R95",72.272,65.975,top,0.000
"R96",72.272,60.175,top,0.000
"U1",59.440,91.730,top,180.000
"U2",16.848,48.837,top,270.000
"U3",49.797,48.837,top,270.000
"U4",82.748,48.837,top,270.000
